deck,index,id,advisor,advisorName,text,leftLabel,rightLabel
"CARDS","0","base_1","0","Аркадий Зубов","Дефицит бюджета критический. Аркадий Зубов предлагает поднять налоги на бизнес или повысить пенсионный возраст до 80 лет.","Налоги на бизнес","Повысить пенс. возраст"
"CARDS","1","base_2","0","Аркадий Зубов","МВФ предлагает кредит на $5 млрд. Условие — приватизация Чебунета и резкое повышение тарифов на ЖКХ.","Отклонить","Принять"
"CARDS","2","base_3","0","Аркадий Зубов","Инфляция бьет рекорды! Зубов требует поднять ключевую ставку до 21% («таргетирование!») или раздавать субсидии.","Поднять ставку до 21%","Раздать субсидии"
"CARDS","3","base_4","0","Аркадий Зубов","Зубов предлагает налоговую амнистию для офшоров Бориса Усманова, чтобы вернуть капиталы в страну.","Отказать","Одобрить амнистию"
"CARDS","4","base_5","0","Аркадий Зубов","Центробанк просит ввести цифровой рубль. Бизнес воет от тотального контроля, но Сенин одобряет слежку за транзакциями.","Запретить цифру","Ввести цифрорубль"
"CARDS","5","base_6","0","Аркадий Зубов","Китайский инвестор хочет выкупить наш оборонный завод «Варонмаш». Громов против — это стратегический ядерный щит!","Запретить продажу","Разрешить китайцам"
"CARDS","6","base_7","0","Аркадий Зубов","Зубов предлагает создать суверенный фонд «Нацблагосостояние» из доходов от нефти. Деньги уйдут с текущего рынка.","Отказать","Создать фонд"
"CARDS","7","base_8","0","Аркадий Зубов","Зубов предлагает приватизировать железные дороги. Усманов уже потирает руки, но цены на билеты для населения взлетят втрое.","Отказать","Отдать Усманову"
"CARDS","8","base_9","0","Аркадий Зубов","Зубов хочет приватизировать государственные авиалинии. Олигарх Борис Усманов уже подал заявку на покупку.","Отказать","Продать Усманову"
"CARDS","9","base_10","0","Аркадий Зубов","Западный консорциум предлагает $3 млрд за морские порты Варонии. Громов кричит, что НАТО устроит там базы снабжения.","Запретить сделку","Продать за $3 млрд"
"CARDS","10","base_11","0","Аркадий Зубов","Безработица достигла 18%. Зубов предлагает отправить безработных копать окопы на границе или дать льготы бизнесу.","Рыть оборонные окопы","Поддержать бизнес"
"CARDS","11","base_12","0","Аркадий Зубов","Наши ученые создали вакцину от опасного вируса. Фармкомпания США предлагает выкупить патент за $500 млн.","Продать патент","Оставить стране"
"CARDS","12","base_13","0","Аркадий Зубов","Зубов предлагает ввести налог 50% на сверхдоходы олигархов. Борис Усманов уже записывает видеообращение «Тьфу на вас!»","Ввести налог","Отклонить налог"
"CARDS","13","base_14","0","Аркадий Зубов","Нефтяная компания хочет начать добычу сырья в заповеднике «Байкал-2». Это принесет $10 млрд прибыли, но экологи в ужасе.","Запретить бурение","Разрешить бурение"
"CARDS","14","base_15","0","Аркадий Зубов","Зубов предлагает построить новую гигантскую АЭС. Экологи пугают катастрофой, но это даст энергосуверенитет.","Отказать из страха","Строить АЭС"
